Part Number,Brand,Category,Common description,Vendor Description,Purchasing Unit Price,Sale Unit Price,Notes,URL
SCL500RMI1UNC,APC,AC UPS,400W Li-Ion 19 Inch Rack mounted UPS,"APC Smart-UPS C Lithium Ion, Short Depth 500VA, 230V with Network Card"," 1,184.59  "," 1,692.27  ",Not sure what the difference between SmartConnect and Network card is,https://www.apc.com/shop/ie/en/products/APC-Smart-UPS-C-Lithium-Ion-Short-Depth-500VA-230V-with-Network-Card/P-SCL500RMI1UNC
SMTL1000RMI2UC,APC,AC UPS,800W Li-Ion 19 Inch Rack mounted UPS,"APC Smart-UPS Lithium Ion, Short Depth 1000VA, 230V with SmartConnect"," 1,603.25  "," 2,290.36  ",,https://www.apc.com/shop/ie/en/products/APC-Smart-UPS-Lithium-Ion-Short-Depth-1000VA-230V-with-SmartConnect/P-SMTL1000RMI2UC
17532,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X2S-P1
DX80 Performance 2.4GHz Node 65mW IP67
FlexPower 10-30V dc or 3.6-5.5V dc low power option External Antenna
Input: 2 Discrete (PNP/NPN) 2 Analog 2 Thermistor
Output: 2 Discrete NMOS Note. 
No Internal Battery", 486.54  , 695.06 ,DX80N2X6S-P6,https://www.bannerengineering.com/us/en/products/part.17532.html
17534,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X6S-P2
DX80 Performance 2.4GHz Node 65mW IP67
10-30Vdc External Antenna
Input: 4 Discrete (PNP/PNP) 2 Analog
Output: 4 Discrete PNP, 2 Analog 0-20mA", 486.54  , 695.06 ,,https://www.bannerengineering.com/us/en/products/part.17534.html
95667,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X6S-P6
DX80 Performance 2.4 GHz Node 65mW IP67
1-wire Serial Interface
10 - 30 V dc
Female Euro; Male Euro for Power", 414.35  , 591.93 ,,https://www.bannerengineering.com/us/en/products/part.95667.html
17427,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X6S-P8. 
DX80 Performance 2.4GHz Node. 65mW. 
IP67. 10-30Vdc. 
External Antenna RS485. 
Up to 12 Discrete PNP I/O", 486.54  , 695.06 ,,https://www.bannerengineering.com/us/en/products/part.17427.html
800199,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X1S-P14
DX80 Performance 2.4 GHz Node 65mW
Internal Battery External Antenna
Input: 1 Configurable Discrete (PNP/NPN), 1 Analog Voltage (configurable to Current), 1 Thermistor, 
1 Asynchronous Counter
1 Switch Power Output", 414.35  , 591.93 ,Counter Input is NPN only,https://www.bannerengineering.com/us/en/products/part.800199.html
802354,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X1S-P16E
DX80 Perf 2.4 GHz Node 65 mW IP65
Internal Battery OR 10 - 30V DC External Antenna
Input: 2 Configurable Discrete 2 Asynchronous Counters
Output: 4 Discrete NMOS", 554.98  , 792.83 ,Used for Danone Transformer Station. Counter Input can be configured for PNP or NPN,https://www.bannerengineering.com/us/en/products/part.802354.html
82048,Banner,Wireless monitoring solutions,Wireless industrial Gateway with a serial RS-485 interface,"DX80G282S-P 
Wireless industrial Gateway with a serial RS-485 interface
DX80 Perf 2.4 GHz Gateway 65 mW IP67
Flex Ext Antenna RS485
No IO", 460.77  , 658.24 ,,https://www.bannerengineering.com/us/en/products/part.82048.html
11433,Banner,Wireless monitoring solutions,Wireless industrial Gateway with a serial RS-485 interface,"DX80DR2M-H
MultiHop Wireless industrial Gateway with a serial RS-485 interface
DX80 MultiHop 2.4 GHz Gateway 65 mW IP67
Flex Ext Antenna RS485
No IO", 460.77  , 658.24 ,,https://www.bannerengineering.com/us/en/products/part.11433.html
18313,Banner,Brackets,,"BWA-HW-034
DIN Bracket and screws for M-HBx", 12.78  , 18.26 ,,https://www.bannerengineering.com/us/en/products/part.18313.html
25758,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X2S-PB1
DX80 Performance 2.4GHz Node 65mW
FlexPower 10-30 V dc or 3.6-5.5V dc External Antenna
Input: 2 NPN Discrete, 2 0-20 mA Analog
Output: 2 Discrete NMOS", 204.40  , 292.00 ,Digital Input is NPN Only,https://www.bannerengineering.com/us/en/products/part.25758.html
25759,Banner,Wireless monitoring solutions,Industrial Wireless Radios; Performance Series Gateways and Nodes,"DX80N2X6S-PB2
DX80 Performance 2.4 GHz Node 65mW
10-30 V dc External Antenna
Input: 2 Discrete PNP 2 Analog
Output: 2 PNP, 2 0-20 mA Analog", 204.40  , 292.00 ,Used for Metronic Pouch detection with Sick Sensor. Digital Input in PNP Only,https://www.bannerengineering.com/us/en/products/part.25759.html
25895,Banner,Wireless Sensors,Temperature and Humidity,"M12FTH4Q
M12FTH4Q Sure Cross Temperature and Humidity; Input: 3.6 to 5.5V dc; Sensor with 1-wire Serial Interface", 183.49  , 262.13 ,,https://www.bannerengineering.com/us/en/products/part.25895.html
26123,Banner,Wireless Sensors,Wireless Q45 Temperature and Humidity node,"DX80N2Q45TH
Wireless Q45 Temperature and Humidity Node
with 1-wire Serial Interface 2.4 GHz 65mW
Temperature and Humidity Sensor sold separately", 174.30  , 249.00 ,,https://www.bannerengineering.com/us/en/products/part.26123.html
27162,Banner,Brackets,Bracket - 30 mm curved mounting slot,"Bracket - 30mm
Material: 12 Gauge cold rolled steel
Curved mounting slot for versatility/orientation",, -   ,,https://www.bannerengineering.com/us/en/products/part.27162.html
28427,Banner,Wireless monitoring solutions,Wireless sensor,Model: DX80N2Q45RD. Wireless Q45 Remote Device Node; Dry Contact or Namur Inputs 2.4 GHz 65mW; Female Euro Connector embedded in the front , 158.90  , 227.00 ,Delivery 10-14 days,https://www.bannerengineering.com/us/en/products/part.28427.html
30192,Banner,Lighting and Indication,Wired touchbuttons,"K50 Series EZ-LIGHT: 1-Color Touch Sensor; Momentary Output
Voltage: 12-30V dc; Housing: Polycarbonate; IP67 IP69K
Output: Bipolar (NO); Colors: None - Not Activated, Green - Activated
Euro-style Quick-Disconnect Connector
", 112.80  , 161.14 ,,https://www.bannerengineering.com/us/en/products/part.30192.html
31304,Banner,Lighting and Indication,Wired touchbuttons,"K30L Series EZ-LIGHT: 1-Color Indicator
Voltage: 10-30V dc; Housing: Polycarbonate; IP67
Input: PNP; Colors: Red
Euro 4-pin Integral Connector", 52.64  , 75.20 ,,https://www.bannerengineering.com/us/en/products/part.31304.html
